1,Takeaway,Present simple\,do you have?,reservation\, wait\, about\, takaway,1
2,Coffee Order,questions,decafe latte\, iced\, sugar-free syrup\, caramel\, vanilla\, hazelnut\, oat milk\, is that to have here or to go\?,1
3,Reservation,,reservation\, wait\, about,1
4,Cocktails by card payment,,free refills\, soft drinks,1
5,Water for table,,,1
6,Payment,present perfect,cash\, card\, insert\, touch\, hasn''t worked\, PIN,2
7,Refund,,refund\, items\, unfortunately\, to use\, exchange\, gift voucher\, manager,2
8,Booking,negative,appointment\, to book\, available,3
9,Spelling your name,,we are booked,3
10,Repeat name,negative,repeat,4
11,Cover,,manager\, to call back\, to take a message\, i''ve got a cold\, find cover\, send a message in the group chat\, shift,5
12,Interview,present simple,interview\, right\, turn left,5
13,Interview arrangements,,secured a job inteview\, admin role\, dress code\, smart-casual\, face-to-face\, online\, only 3 stops on the no.32 bus\, let you know,8
14,Delivery Driver,,Delivery driver\, having trouble,12
15,Social Media,adjectives,use\, snapchat,21
16,Instagram,,head off\, give out\, I suppose\, username,21
17,neighbour''s parcel,,parcel\, neighbour\, corridor\, signing,21
18,Description of town,,close to the beach\, ancient\, festivals,21
19,Disneyland,,lucky,23
20,Help with child''s birthday party,,setting up,23
21,Study in cafe,,assignments\, next door,24
22,International Food,,spices\, boil\, text,27
23,Hospital Visit,,,6
24,Delivery Driver,,,6
25,Omelette,,,29
26,Age restricted,,,20
27,Payment,,,10
28,Sick relative,,,13
29,Visiting patient,,,13
30,1st day in job,,,22
31,Job offer,,,22
32,Dentist,,,9
33,Doctor,,,9
34,Lunch,,,14
35,Charity,,,14
36,Children at wedding,,,14
37,Wedding RSVP,,,14
38,Expired Ticket,,,18
39,Delayed drinks order,,,7
40,QR Code,,,7
41,Cocktails (1),,,7
42,Cocktails (2),,,7
43,Vegan pizza,,,7
44,Reservation,,,7
45,Succulent,,,28
46,Succulent,,,28
47,Clothing for weather,,,36
48,Family size,,,16
49,Hobbies,,,16
50,Purchase of computer,,,11
51,Payment,,,11
52,Cancel hair appointment,,,11
53,Study plans,,,17
54,E-ticket,,,19
55,Job offer,,,25
56,Rain in station,,,26
57,Ordering cocktails by barcode,,,31
58,Offering help for Pink Unicorn Party,,,33
59,Haircut,,,34
60,Delivery of packages,,,35
61,Phone purchase,,,15
62,Meet for drinks,,,30
63,Disneyland,,,32
64,No show date,,,37